rohBrenn,wasser,asche,chlor,schwefel,queck,calcium,silizium,eisen,aluminium,kalium,magnesium,natrium,rohMainParam,menge,preis,abfPro,avvZert,Lables
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,b
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,b
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,b
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,b
0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,b
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,b
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,b
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,b
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,b
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,b
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,b
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,b
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,b
1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,b
1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,b
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,b
1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,b
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,b
1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,b
1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,b
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,b
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,b
1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,b
1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,b
1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,b
1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,b
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,2,1,0,b
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,a
1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,a
1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,a
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,a
0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,a
0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,a
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,a
1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,a
1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,a
1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,a
1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,a
1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,a
1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,a
1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,a
1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,a
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,a
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,a
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,a
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,a
0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,a
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,a
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,a
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,a
1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,a
1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,a
1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,a
1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,a
1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,a
